Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TS_SmokeTest_E2E_LeedOnline,Chrome 72.0.3626.119,,2019-03-06 17:13:07,2019-03-06 17:17:06,3m - 59.111s,PASSED
,,,,,,
Test Cases/SmokeTest/TC_Campus_Registration,Chrome 72.0.3626.119,,2019-03-06 17:13:07,2019-03-06 17:14:49,1m - 41.213s,PASSED
runWithCucumberRunner(testRunner.CampusRegistrationRunner),Chrome 72.0.3626.119,,2019-03-06 17:13:08,2019-03-06 17:14:49,1m - 40.664s,PASSED
,,,,,,
Test Cases/SmokeTest/TC_Project_Registration,Chrome 72.0.3626.119,,2019-03-06 17:14:49,2019-03-06 17:17:05,2m - 16.101s,PASSED
runWithCucumberRunner(testRunner.ProjectRegistrationRunner),Chrome 72.0.3626.119,,2019-03-06 17:14:49,2019-03-06 17:17:05,2m - 15.752s,PASSED
